Year;Month;H(h)_m;H(i_opt)_m;H(i)_m;Hb(n)_m;T2m;;;;;;
2018;Jan;58.78;92.01;90.79;80.77;10.Nis;;;;;;
2018;Feb;51.05;64.29;63.9;39.79;9.Mar;;;;;;
2018;Mar;115.33;141.93;141.32;115.35;13.Oca;;;;;;
2018;Apr;185.85;204.4;204.59;191.98;15.Haz;;;;;;
2018;May;202.74;200.64;201.83;183.74;19.May;;;;;;
2018;Jun;209.19;198.19;199.83;194.9;22.Eyl;;;;;;
2018;Jul;230.57;222.56;224.21;234.84;25.A?u;;;;;;
2018;Aug;217.74;230.22;230.86;243.96;25.A?u;;;;;;
2018;Sep;149.79;176.84;176.44;166.97;22.Nis;;;;;;
2018;Oct;100.7;134.44;133.41;111.49;18.0;;;;;;
2018;Nov;56.39;80.7;79.85;62.49;13.?ub;;;;;;
2018;Dec;44.24;67.82;66.95;53.73;9.Nis;;;;;;
2019;Jan;42.84;58.76;58.21;39.25;9.Nis;;;;;;
2019;Feb;70.08;99.34;98.37;86.76;8.A?u;;;;;;
2019;Mar;141.84;177.19;176.35;157.48;11.Nis;;;;;;
2019;Apr;163.86;177.91;178.15;157.61;13.Nis;;;;;;
2019;May;198.2;196.02;197.18;172.39;18.May;;;;;;
2019;Jun;228.25;215.8;217.65;226.87;23.Eyl;;;;;;
2019;Jul;233.74;225.42;227.1;245.52;24.Tem;;;;;;
2019;Aug;222.27;235.43;236.09;253.98;25.Nis;;;;;;
2019;Sep;164.04;197.76;197.16;197.09;22.Nis;;;;;;
2019;Oct;115.84;159.8;158.42;141.56;18.Eyl;;;;;;
2019;Nov;61.34;91.21;90.14;75.81;17.Nis;;;;;;
2019;Dec;47.08;70.08;69.24;52.62;12.Oca;;;;;;
2020;Jan;63.24;101.68;100.25;91.5;9.Oca;;;;;;
2020;Feb;80.88;113.07;112.01;95.31;10.Mar;;;;;;
2020;Mar;110.16;134.28;133.73;108.71;11.Tem;;;;;;
2020;Apr;158.48;172.4;172.63;156.19;12.Tem;;;;;;
2020;May;204.37;202.84;204.0;181.69;17.Haz;;;;;;
2020;Jun;221.27;209.05;210.81;210.18;22.Oca;;;;;;
2020;Jul;241.75;233.36;235.1;254.25;24.Eyl;;;;;;
2020;Aug;216.98;230.12;230.73;240.84;25.Nis;;;;;;
2020;Sep;162.22;194.15;193.61;185.2;23.Nis;;;;;;
2020;Oct;109.04;149.74;148.46;135.13;19.Eyl;;;;;;
2020;Nov;68.33;103.88;102.6;88.38;13.Tem;;;;;;
2020;Dec;49.75;76.75;75.75;61.01;13.0;;;;;;
2021;Jan;55.34;83.67;82.64;68.06;11.May;;;;;;
2021;Feb;83.92;117.52;116.42;100.18;10.Mar;;;;;;
2021;Mar;111.71;136.21;135.65;109.32;9.Eyl;;;;;;
2021;Apr;156.74;169.93;170.15;140.93;13.0;;;;;;
2021;May;212.62;210.51;211.8;207.01;17.A?u;;;;;;
2021;Jun;230.1;217.73;219.59;229.57;22.Haz;;;;;;
2021;Jul;240.11;232.83;234.55;247.12;26.Mar;;;;;;
2021;Aug;217.63;230.88;231.51;238.13;26.Nis;;;;;;
2021;Sep;160.24;192.35;191.77;177.17;21.May;;;;;;
2021;Oct;96.84;126.78;125.89;99.66;16.Nis;;;;;;
2021;Nov;55.47;77.16;76.41;54.41;14.Nis;;;;;;
2021;Dec;43.91;64.71;63.96;47.23;11.Haz;;;;;;
2022;Jan;62.88;100.91;99.49;91.37;8.Haz;;;;;;
2022;Feb;71.95;103.46;102.4;93.89;9.Tem;;;;;;
2022;Mar;116.23;139.04;138.58;110.97;8.Oca;;;;;;
2022;Apr;169.65;185.4;185.6;166.32;13.May;;;;;;
2022;May;222.03;219.25;220.63;222.32;17.Eyl;;;;;;
2022;Jun;220.38;209.09;210.85;218.83;23.0;;;;;;
2022;Jul;240.85;231.68;233.48;264.31;24.A?u;;;;;;
2022;Aug;204.47;215.36;216.01;215.61;25.Haz;;;;;;
2022;Sep;161.73;194.45;193.87;185.01;22.Oca;;;;;;
2022;Oct;118.03;163.79;162.34;148.07;18.0;;;;;;
2022;Nov;65.8;96.19;95.12;76.44;15.Haz;;;;;;
2022;Dec;42.94;64.48;63.69;49.06;12.Tem;;;;;;
2023;Jan;52.54;78.13;77.2;60.45;11.0;;;;;;
2023;Feb;86.86;125.6;124.29;113.11;9.Nis;;;;;;
2023;Mar;119.35;143.96;143.45;120.2;11.Tem;;;;;;
2023;Apr;151.72;161.7;162.01;127.18;13.Haz;;;;;;
2023;May;188.38;186.5;187.57;155.83;17.0;;;;;;
2023;Jun;213.78;201.6;203.35;211.47;21.A?u;;;;;;
2023;Jul;243.47;235.4;237.15;261.39;26.Mar;;;;;;
2023;Aug;206.17;217.71;218.32;220.23;26.0;;;;;;
2023;Sep;153.15;182.71;182.2;166.05;22.Eyl;;;;;;
2023;Oct;114.54;155.47;154.21;136.05;19.Eyl;;;;;;
2023;Nov;63.22;93.86;92.76;76.19;17.Oca;;;;;;
2023;Dec;44.13;68.49;67.58;55.48;13.0;;;;;;
